time,x acceleration,y acceleration,z acceleration,magnitude acceleration
21.1913345,-0.016530444,0.00378874,0.085436007,0.087102936
21.2014015,-0.001453682,0.002374372,0.067017862,0.067075664
21.2114685,0.00086706,0.00201601,0.041112358,0.041170889
21.2215355,0.010856699,0.000417857,0.04484639,0.046143702
21.2316025,0.025686745,-0.007920163,0.00412638,0.027194942
21.2416705,0.032674214,-0.026858874,0.000530927,0.042299944
21.2517375,0.034116448,-0.01041559,0.015649488,0.03895283
21.2618045,0.012110177,-0.013769097,0.025535375,0.031437236
21.2718715,0.007710632,-0.000453835,0.025995551,0.027118785
21.2819385,0.005450107,0.005228617,0.034541842,0.035357898
21.2920055,0.000470436,0.003420183,0.042486454,0.042626491
21.3020725,-0.00580644,0.025064894,0.060756664,0.065979814
21.3121405,-0.027291249,0.026242194,0.08680484,0.094702404
21.3222075,-0.035603404,0.022320814,0.087102463,0.096709153
21.3322745,-0.020833456,0.009352914,0.087843305,0.090763187
21.3423415,-0.024702723,0.027245595,0.088283016,0.095637011
21.3524085,-0.009403912,0.033109128,0.069557308,0.077607132
21.3624755,0.007137861,0.018065758,0.067896114,0.070620132
21.3725425,0.008046993,0.008974307,0.048277536,0.049759549
21.3826105,0.001591119,-0.002918455,0.012798386,0.013222999
21.3926775,0.019139764,-0.002477191,0.027618154,0.033693166
21.4027445,0.022638765,-0.001417109,0.002927116,0.022871159
21.4128115,0.020227109,-0.023238333,0.006079935,0.031402574
21.4228785,0.019514068,-0.004598945,0.008633414,0.021828536
21.4329455,-0.003514725,0.009710106,0.027205925,0.029099859
21.4430125,-0.002592482,0.005337503,0.037693491,0.038157688
21.4530795,-0.014196053,0.008254112,0.048173456,0.050895384
21.4631475,-0.023091788,0.015031876,0.076013803,0.080853486
21.4732145,-0.031634305,0.017057223,0.094418499,0.101027378
21.4832815,-0.012315351,0.020814662,0.090516068,0.09369139
21.4933485,-0.004371095,0.040627916,0.084067174,0.093472048
21.5034155,-0.014152436,0.030464651,0.086901904,0.093168274
21.5134825,0.005367781,0.021328267,0.074171931,0.077363967
21.5235495,0.005931306,0.018283165,0.053661067,0.05699969
21.5336175,0.027453445,0.011146766,0.030458731,0.042493251
21.5436845,0.027496641,-0.00663849,0.027471973,0.039431512
21.5537515,0.030785691,-0.014152893,0.012663315,0.036172126
21.5638185,0.018061136,-0.029756078,0.00968065,0.036129542
21.5738855,0.018189253,-0.034874311,0.003854485,0.039521178
21.5839525,-0.004907194,-0.023293571,0.00281368,0.023970561
21.5940195,0.015382215,-0.011511231,0.036491888,0.041240501
21.6040865,-0.008366096,-0.000641312,0.055799979,0.056427303
21.6141545,-0.010293557,0.007666175,0.074357287,0.075456834
21.6242215,-0.006886677,0.023739513,0.080785131,0.084482118
21.6342885,-0.035021889,0.043660556,0.086165155,0.102748288
21.644355,-0.025423145,0.051955818,0.092443895,0.109048691
21.654422,-0.007717713,0.04751992,0.083903452,0.096734146
21.664489,-0.018909704,0.020980541,0.095878549,0.099952269
21.674556,0.019690983,0.019608254,0.066540145,0.072109703
21.684624,0.017782598,0.017538413,0.049928205,0.055826896
21.694691,0.020910968,-0.009060169,0.015057165,0.027314345
21.704758,0.011821581,-0.023025367,0.003235849,0.026084248
21.714825,0.030825525,-0.032900601,0.011924812,0.046635434
21.724892,0.024111222,-0.023152361,-0.005885807,0.033941502
21.734959,0.01684084,-0.008997842,0.008933961,0.021080576
21.745026,-0.001278941,-0.011730154,0.019408078,0.022713558
21.755094,-0.008391175,0.00389293,0.040505417,0.041548231
21.765161,-0.00697497,0.013228065,0.056515678,0.058460703
21.775228,-0.012637103,0.015566878,0.080759404,0.083211209
21.785295,-0.007836575,0.031736841,0.093927333,0.099453421
21.795362,-0.022966904,0.04047101,0.088236823,0.099755292
21.805429,-0.028057892,0.027196423,0.105901846,0.112880874
21.815496,-0.022742279,0.049148442,0.082106017,0.098357403
21.825563,-0.009349515,0.021959657,0.078517581,0.082064917
